index,Task Name,Required Abilities(GPT4o)old_prompt,Required Ability(GPT4o)
1,make_stewed_fruit-0,"1,3,4","1,3,4"
2,remove_spots_from_linen-0,"1,3","1,2"
3,sweeping_porch-0,"1,4","2,3"
4,bringing_paper_to_recycling-0,"1,3","2,3"
5,clean_rubber-0,"1,3","1,2"
6,freeze_vegetables-0,"1,3,4","1,3"
7,organizing_art_supplies-0,"1,3","1,3,5"
8,selling_products_at_flea_market-0,"1,3,4","1,3,5"
9,clean_an_electric_kettle-0,"1,3","1,2,3"
10,cooking_dinner-0,"1,3,4","1,3,4"
11,clean_leather_sandals-0,"1,3","1,2"
12,opening_doors-0,"1,3","2,3"
13,emptying_trash_cans-0,"1,3","2,3"
14,putting_up_Christmas_decorations_outside-0,"1,3,4","1,3,4"
15,clean_a_shower-0,"1,3","1,2,3"
16,cook_broccolini-0,"1,3,4","1,3,4"
17,prepare_sea_salt_soak-0,"1,3,4","1,3,4"
18,glaze_a_ham-0,"1,3","1,3,4"
19,hanging_up_bedsheets-0,"1,3",3
20,installing_carpet-0,"1,3","2,3"
21,make_yams-0,"1,3,4","1,3,4"
22,clean_a_gravestone-0,"1,3","1,2,3"
23,clean_dog_collars-0,"1,3","1,2"
24,packing_grocery_bags_into_car-0,"1,3","3,4"
25,clean_a_air_conditioner-0,"1,3","1,2,3"
26,defrosting_freezer-0,"1,3","2,3,4"
27,iron_curtains-0,"1,3","3,4"
28,installing_a_printer-0,"1,3,4","2,3,5"
29,clean_jewels-0,"1,3","1,2"
30,clean_out_a_guinea_pigs_hutch-0,"1,3","2,3"
31,shoveling_coal-0,"1,3","2,3"
32,clean_shrimp-0,"1,3","1,2,3"
33,clean_a_company_office-0,"1,3","2,3"
34,cook_brussels_sprouts-0,"1,3,4","1,3,4"
35,prepare_your_garden_for_winter-0,"1,3,4","2,3,4"
36,boxing_books_up_for_storage-0,"1,3",3
37,clean_scallops-0,"1,3","1,2,3"
38,laying_paving_stones-0,"1,3,4","2,3"
39,planting_plants-0,"1,3","2,3"
40,setup_a_garden_party-0,"1,3,4","3,4,5"
41,make_iced_chocolate-0,"1,3,4","1,3,4"
42,make_a_mojito-0,"1,3,4","1,3,4"
43,make_party_favors_from_candy-0,"1,3,4","1,3,5"
44,clean_wood_pallets-0,"1,3","1,2"
45,installing_a_fax_machine-0,"1,3,4","2,3,5"
46,laying_restaurant_table_for_dinner-0,"1,3,4","2,3"
47,taking_clothes_off_of_the_drying_rack-0,"1,3","2,3"
48,clean_a_box_fan-0,"1,3","1,2,3"
49,freeze_lasagna-0,"1,3,4","1,3"
50,clean_a_fish-0,"1,3","1,2,3"
51,scrubbing_bathroom_floor-0,"1,3","1,2,3"
52,set_up_a_bird_cage-0,"1,3,4","2,3"
53,serving_food_at_a_homeless_shelter-0,"1,3,4","2,3"
54,boxing_food_after_dinner-0,"1,3",3
55,cook_ham_hocks-0,"1,3,4","1,3,4"
56,cook_mustard_greens-0,"1,3,4","1,3,4"
57,cleaning_up_branches_and_twigs-0,"1,3","2,3"
58,clean_quartz-0,"1,3","1,2"
59,store_beer-0,"1,3",3
60,clean_a_flat_iron-0,"1,3","1,2,3"
61,clean_an_air_filter-0,"1,3","1,2,3"
62,clean_decking-0,"1,3","1,2,3"
63,filling_pepper-0,"1,3",3
64,make_a_strawberry_slushie-0,"1,3,4","1,3,4"
65,fill_a_bucket_in_a_small_sink-0,"1,3",3
66,clean_a_patio-0,"1,3","1,2,3"
67,clearing_the_table_after_dinner-0,"1,3","2,3"
68,doing_housework_for_adult-0,"1,3,4","2,3,4"
69,rinsing_dishes-0,"1,3","2,3"
70,donating_clothing-0,"1,3","2,3,5"
71,vacuuming_floors-0,"1,3","2,3"
72,putting_up_posters-0,"1,3","3,5"
73,cook_quail-0,"1,3,4","1,3,4"
74,polishing_silver-0,"1,3","1,2"
75,halve_an_egg-0,"1,3",3
76,clean_greens-0,"1,3","1,2,3"
77,make_cream_from_milk-0,"1,3,4","1,3,4"
78,putting_away_cleaning_supplies-0,"1,3",3
79,freeze_fruit-0,"1,2","1,3"
80,collecting_wood-0,"1,3","2,3"
81,warm_tortillas-0,"1,4","1,3,4"
82,clean_up_broken_glass-0,"1,3","2,3"
83,packing_cleaning_suppies_into_car-0,"1,3",3
84,tidying_living_room-0,"1,3","2,3,4"
85,cleaning_sneakers-0,"1,3","1,2,3"
86,make_fried_rice-0,"1,3,4","1,3,4"
87,clean_up_your_desk-0,"1,3","2,3"
88,cleaning_fishing_gear-0,"1,3","1,2,3"
89,make_chicken_curry-0,"1,3,4","1,3,4"
90,clean_a_teddy_bear-0,"1,3","1,2"
91,fill_a_canteen-0,"1,3",3
92,unpacking_childs_bag-0,"1,3","2,3"
93,make_a_cheese_pastry-0,"1,3,4","1,3,4"
94,clean_marker_off_a_doll-0,"1,3","1,2"
95,clean_a_piano-0,"1,3","1,2,3"
96,polish_gold-0,"1,3","1,2"
97,clean_up_spilled_egg-0,"1,3","2,3"
98,preparing_food_for_a_fundraiser-0,"1,3,4","1,3,4,5"
99,tidying_bathroom-0,"1,3","2,3,4"
100,laying_wood_floors-0,"1,3,4","2,3"
